athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Alex Gholston,Alabama,SEC,400m,2016,JR,,,52.61,seconds,NCAA Division I East Preliminary Round,2016-05-26,First Round,,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
Domonique Williams,Alabama,SEC,400m,2016,SO,,,53.02,seconds,NCAA Division I East Preliminary Round,2016-05-26,First Round,12,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2016 outdoor result; historical coverage check pending
Katie Funcheon,Alabama,SEC,400m,2016,FR,,,54.81,seconds,NCAA Division I East Preliminary Round,2016-05-26,First Round,,,Outdoor,https://www.tfrrs.org/athletes/5610036/Alabama/Katie_Funcheon.html,Verified 2016 outdoor result; historical coverage check pending
Filippa Fotopoulou,Alabama,SEC,Long Jump,2016,SO,,,5.93,meters,NCAA Division I East Preliminary Round,2016-05-26,Final,,0.3,Outdoor,https://www.tfrrs.org/athletes/5112888/Alabama/Filippa_Fotopoulou_,Verified 2016 outdoor result; historical coverage check pending
Lacey Dent,Alabama,SEC,Long Jump,2016,SR,,,5.63,meters,NCAA Division I East Preliminary Round,2016-05-26,Final,43,0.1,Outdoor,https://www.tfrrs.org/athletes/4167050/Alabama/Lacey_Dent.html,Verified 2016 outdoor result; historical coverage check pending
Quanesha Burks,Alabama,SEC,Long Jump,2016,JR,,,6.43,meters,NCAA Division I East Preliminary Round,2016-05-26,Final,,0.3,Outdoor,https://www.tfrrs.org/athletes/4638071/Alabama/Quanesha_Burks.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.15,seconds,NCAA Division I East Preliminary Round,2016-05-27,First Round,9,1.0,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,52.4,seconds,NCAA Division I East Preliminary Round,2016-05-27,Quarterfinal,10,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
Domonique Williams,Alabama,SEC,400m,2016,SO,,,52.74,seconds,NCAA Division I East Preliminary Round,2016-05-27,Quarterfinal,16,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.12,seconds,NCAA Division I East Preliminary Round,2016-05-28,Quarterfinal,11,2.6,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.24,seconds,NCAA Division I Track & Field Championships,2016-06-09,Semifinal,17,1.7,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,53.11,seconds,NCAA Division I Track & Field Championships,2016-06-09,Semifinal,16,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
Quanesha Burks,Alabama,SEC,Long Jump,2016,JR,,,6.52,meters,NCAA Division I Track & Field Championships,2016-06-09,Final,,-0.4,Outdoor,https://www.tfrrs.org/athletes/4638071/Alabama/Quanesha_Burks.html,Verified 2016 outdoor result; historical coverage check pending
