school,season,gender,athlete,event,performance,meet,meet_date,class_year,age_at_meet,source
Virginia,2022,Women,Zoe Rice,Long Jump,5.98m (1.1),Virginia High Performance,2022-05-04,JR-3,,TFRRS
Virginia,2022,Women,Alix Still,100H,13.84 (1.9),ACC Outdoor Track & Field Championships - Heptathlon,2022-05-12/14,JR-3,,TFRRS
Virginia,2022,Women,Anzhelika Parenchuk,400H,1:02.30,ACC Outdoor Track & Field Championships,2022-05-12/14,FR-1,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:02.07,ACC Outdoor Track & Field Championships,2022-05-12/14,FR-1,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,5.75m (0.7),ACC Outdoor Track & Field Championships - Heptathlon,2022-05-12/14,JR-3,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,5.70m (1.2),ACC Outdoor Track & Field Championships,2022-05-12/14,JR-3,,TFRRS
Virginia,2022,Women,Jada Seaman,Long Jump,6.09m (0.4),ACC Outdoor Track & Field Championships,2022-05-12/14,SO-2,,TFRRS
Virginia,2022,Women,Jordan Hardy,Long Jump,6.00m (1.9),ACC Outdoor Track & Field Championships,2022-05-12/14,FR-1,,TFRRS
Virginia,2022,Women,Zoe Rice,Long Jump,5.69m (0.6),ACC Outdoor Track & Field Championships,2022-05-12/14,JR-3,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,5.52m (0.7),NCAA East Preliminary Round,2022-05-25/28,JR-3,,TFRRS
Virginia,2022,Women,Jada Seaman,Long Jump,5.95m (-0.3),NCAA East Preliminary Round,2022-05-25/28,SO-2,,TFRRS
Virginia,2022,Women,Zoe Rice,Long Jump,5.87m (0.8),NCAA East Preliminary Round,2022-05-25/28,JR-3,,TFRRS
